Team name,Player name,Number,Position,Url,Mugshot
Blackwater,Regile Kent Ilagan,0,PG,https://www.pba.ph/players/regile-kent-ilagan,https://dashboard.pba.ph/assets/players/Ilagilagan.png
Rain or Shine,Shaun Ildefonso,10,G,https://www.pba.ph/players/shaun-ildefonso,https://dashboard.pba.ph/assets/players/Ildefonso23.png
Magnolia,Jio Jalalon,6,G,https://www.pba.ph/players/jio-jalalon,https://dashboard.pba.ph/assets/players/Jalalon23.png
Phoenix,RJ Jazul,13,G,https://www.pba.ph/players/rj-jazul,https://dashboard.pba.ph/assets/players/Jazul23.png
San Miguel,Kyt Jimenez,76,Guard,https://www.pba.ph/players/kyt-jimenez,https://dashboard.pba.ph/assets/players/Jimenez23.png
Blackwater,Clifford Jopia,13,C/F,https://www.pba.ph/players/clifford-jopia,https://dashboard.pba.ph/assets/players/24Jopia.png
Meralco,Raymar Jose,24,F,https://www.pba.ph/players/raymar-jose,https://dashboard.pba.ph/assets/players/Jose23.png
Talk N Text,Glenn Khobuntin,12,F/G,https://www.pba.ph/players/glenn-khobuntin,https://dashboard.pba.ph/assets/players/Khobuntin23.png
Blackwater,James Kwekuteye,7,Guard,https://www.pba.ph/players/james-kwekuteye,https://dashboard.pba.ph/assets/players/Kwekut23eye.png
Phoenix,Chris Lalata,6,F,https://www.pba.ph/players/chris-lalata,https://dashboard.pba.ph/assets/players/Lalata23.png
Magnolia,James Laput,42,C,https://www.pba.ph/players/james-laput,https://dashboard.pba.ph/assets/players/Laput23.png
San Miguel,Marcio Lassiter,13,G,https://www.pba.ph/players/marcio-lassiter,https://dashboard.pba.ph/assets/players/Lassiter.23png.png
Magnolia,Paul Lee,3,G,https://www.pba.ph/players/paul-lee,https://dashboard.pba.ph/assets/players/Lee23.png
North Port,Zavier Lucero,7,Forward,https://www.pba.ph/players/zavier-lucero,https://dashboard.pba.ph/assets/players/
Converge,Patrick Maagdenberg,4,C/F,https://www.pba.ph/players/patrick-maagdenberg,https://dashboard.pba.ph/assets/players/Maagdenberg23.png
Converge,Patrick Maagdenberg,4,Center,https://www.pba.ph/players/patrick-maagdenberg,https://dashboard.pba.ph/assets/players/Maagdenberg23.png
Meralco,Allein Maliksi,22,F,https://www.pba.ph/players/allein-maliksi,https://dashboard.pba.ph/assets/players/Maliksi23.png
San Miguel,John Troy Mallilin,4,F/G,https://www.pba.ph/players/john-troy-mallilin,https://dashboard.pba.ph/assets/players/Mallilin23.png
Ginebra San Miguel,Jamie Malonzo,3,C/F,https://www.pba.ph/players/jamie-malonzo,https://dashboard.pba.ph/assets/players/malonezo.png
Rain or Shine,Gian Mamuyac,3,G,https://www.pba.ph/players/gian-mamuyac,https://dashboard.pba.ph/assets/players/Mamuyac23.png
Phoenix,Sean Paul Manganti,2,F/G,https://www.pba.ph/players/sean-paul-manganti,https://dashboard.pba.ph/assets/players/Mangant23i.png
San Miguel,Vic Manuel,87,F,https://www.pba.ph/players/vic-manuel,https://dashboard.pba.ph/assets/players/Manuel23.png
NLEX,Dave Marcelo,22,C,https://www.pba.ph/players/dave-marcelo,https://dashboard.pba.ph/assets/players/Marcel23o.png
